code1,code2,distance
ai,fj,0.571
ai,fk,0.1219
ai,fm,0.6988
ai,fo,0.7617
ai,fr,0.6837
ai,ga,0.61
ai,gb-eng,0.8021
ai,gb-nir,0.8156
ai,gb-sct,0.6676
ai,gb-wls,0.6003
ai,gb,0.5476
ai,gd,0.6268
ai,ge,0.7993
ai,gf,0.7118
ai,gg,0.7963
ai,gh,0.5857
ai,gi,0.7267
ai,gl,0.7283
ai,gm,0.545
ai,gn,0.6386
ai,gp,0.5898
ai,gq,0.6471
ai,gr,0.6515
ai,gs,0.165
ai,gt,0.6828
ai,gu,0.3455
ai,gw,0.616
ai,gy,0.5698
ai,hk,0.7317
ai,hm,0.504
ai,hn,0.7064
ai,hr,0.6252
ai,ht,0.6009
ai,hu,0.6237
ai,id,0.8261
ai,ie,0.7137
ai,il,0.7143
ai,im,0.6894
ai,in,0.6187
ai,io,0.4946
ai,iq,0.606
ai,ir,0.668
ai,is,0.5634
ai,it,0.6904
ai,je,0.7995
ai,jm,0.6123
ai,jo,0.5855
ai,jp,0.8386
ai,ke,0.5694
ai,kg,0.7825
ai,kh,0.5699
ai,ki,0.6095
ai,km,0.6096
ai,kn,0.5876
ai,kp,0.6056
ai,kr,0.7891
ai,kw,0.6308
ai,ky,0.1606
ai,kz,0.6272
ai,la,0.5185
ai,lb,0.6913
ai,lc,0.7215
ai,li,0.4967
ai,lk,0.6106
ai,lr,0.6522
ai,ls,0.6065
ai,lt,0.6174
ai,lu,0.6601
ai,lv,0.6487
ai,ly,0.603
ai,ma,0.671
ai,mc,0.7877
ai,md,0.6279
ai,me,0.7249
ai,mf,0.6837
ai,mg,0.6628
ai,mh,0.5695
ai,mk,0.6819
ai,ml,0.6704
ai,mm,0.6784
ai,mn,0.6027
ai,mo,0.6046
ai,mp,0.5726
ai,mq,0.5546
ai,mr,0.6108
ai,ms,0.1585
ai,mt,0.7434
ai,mu,0.5753
ai,mv,0.6201
ai,mw,0.5761
ai,mx,0.6606
ai,my,0.6825
ai,mz,0.6493
ai,na,0.5543
ai,nc,0.5593
ai,ne,0.6419
ai,nf,0.6432
ai,ng,0.6851
ai,ni,0.6474
ai,nl,0.6061
ai,no,0.5961
ai,np,0.5425
ai,nr,0.3545
ai,nu,0.7781
ai,nz,0.192
ai,om,0.6484
ai,pa,0.6636
ai,pe,0.7383
ai,pf,0.6909
ai,pg,0.5882
ai,ph,0.6329
ai,pk,0.6363
ai,pl,0.732
ai,pm,0.5599
ai,pn,0.168
ai,pr,0.7091
ai,ps,0.6095
ai,pt,0.6949
ai,pw,0.7051
ai,py,0.6101
ai,qa,0.6724
ai,re,0.6301
ai,ro,0.5831
ai,rs,0.6784
ai,ru,0.663
ai,rw,0.6267
ai,sa,0.5844
ai,sb,0.5448
ai,sc,0.5867
ai,sd,0.5886
ai,se,0.5906
ai,sg,0.7861
ai,sh,0.101
ai,si,0.7144
ai,sj,0.5961
ai,sk,0.6646
ai,sl,0.632
ai,sm,0.6823
ai,sn,0.669
ai,so,0.6619
ai,sr,0.6131
ai,ss,0.5732
ai,st,0.63
ai,sv,0.6218
ai,sx,0.5864
ai,sy,0.5999
ai,sz,0.5667
ai,tc,0.1041
ai,td,0.584
ai,tf,0.5415
ai,tg,0.611
ai,th,0.6309
ai,tj,0.6611
ai,tk,0.4568
ai,tl,0.6791
ai,tm,0.5748
ai,tn,0.745
ai,to,0.6984
ai,tr,0.7382
ai,tt,0.6429
ai,tv,0.5359
ai,tw,0.7504
ai,tz,0.5725
ai,ua,0.7335
ai,ug,0.6734
ai,um,0.635
ai,us,0.635
ai,uy,0.6838
ai,uz,0.6258
ai,va,0.8262
ai,vc,0.5629
ai,ve,0.5686
ai,vg,0.1625
ai,vi,0.7691
ai,vn,0.7995
ai,vu,0.5575
ai,wf,0.66
ai,ws,0.6217
ai,xk,0.5799
ai,ye,0.6258
ai,yt,0.7954
ai,za,0.5529
ai,zm,0.636
ai,zw,0.6555
al,ad,0.6462
al,ae,0.7348
al,af,0.6743
al,ag,0.6157
al,ai,0.7535
al,al,0.0
al,am,0.5989
al,ao,0.6109
al,aq,0.9791
al,ar,0.894
al,as,0.7925
al,at,0.7008
al,au,0.7545
al,aw,0.8532
al,ax,0.7477
al,az,0.7528
al,ba,0.7799
al,bb,0.7563
al,bd,0.7848
al,be,0.6437
al,bf,0.6925
al,bg,0.7528
al,bh,0.6899
al,bi,0.7419
al,bj,0.6791
al,bl,0.8792
al,bm,0.5819
al,bn,0.7289
al,bo,0.6491
al,bq,0.8252
al,br,0.7716
al,bs,0.7789
al,bt,0.639
al,bv,0.615
al,bw,0.8325
al,by,0.6146
al,bz,0.717
al,ca,0.5414
al,cc,0.7962
al,cd,0.8515
al,cf,0.7202
al,cg,0.6772
al,ch,0.407
al,ci,0.802
al,ck,0.7452
al,cl,0.734
al,cm,0.662
al,cn,0.5796
al,co,0.6474
al,cr,0.7602
al,cu,0.7799
al,cv,0.8014
al,cw,0.7845
al,cx,0.7674
al,cy,0.9426
